[2000-01-01 00:00:00]: OUGA
[2000-01-01 00:00:00]: OUGA
[2000-01-01 00:00:00]: OUGA
[2022-07-03 13:16:13]: OUGA
[2022-07-03 13:16:19]: OUGA
[2022-07-05 21:10:20]: Error with DB Connection, could not find driver
[2022-07-05 21:11:13]: Error with DB Connection, could not find driver
[2022-07-05 21:11:37]: Error with DB Connection, could not find driver
[2022-07-05 21:11:50]: Error with DB Connection, could not find driver
[2022-07-05 21:12:18]: Error with DB Connection, could not find driver
[2022-07-05 21:12:36]: Error with DB Connection, could not find driver
[2022-07-05 21:12:50]: Error with DB Connection, could not find driver
[2022-07-05 21:14:32]: Error with DB Connection, could not find driver
[2022-07-06 17:52:07]: Error with DB Connection, could not find driver
[2022-07-06 17:52:12]: Error with DB Connection, could not find driver
[2022-07-06 17:52:18]: Error with DB Connection, could not find driver
[2022-07-06 17:52:53]: An Bot has been detected.
[2022-07-06 17:52:54]: Error with DB Connection, could not find driver
[2022-07-06 17:53:02]: Error with DB Connection, could not find driver
[2022-07-06 17:53:06]: An Bot has been detected.
[2022-07-06 17:53:06]: Error with DB Connection, could not find driver
[2022-07-06 17:53:09]: Error with DB Connection, could not find driver
[2022-07-06 17:53:15]: Error with DB Connection, could not find driver
[2022-07-06 17:53:22]: Error with DB Connection, could not find driver
[2022-07-06 17:53:35]: Error with DB Connection, could not find driver
[2022-07-06 17:53:52]: Error with DB Connection, could not find driver
[2022-07-06 17:53:54]: Error with DB Connection, could not find driver
[2022-07-06 17:57:30]: Error with DB Connection, could not find driver
[2022-07-06 17:59:34]: Error with DB Connection, could not find driver
[2022-07-06 18:00:02]: Error with DB Connection, could not find driver
[2022-07-06 18:00:38]: Error with DB Connection, could not find driver
[2022-07-06 18:00:39]: Error with DB Connection, could not find driver
[2022-07-06 18:01:15]: Error with DB Connection, could not find driver
[2022-07-06 18:02:05]: Error with DB Connection, could not find driver
[2022-07-06 18:02:36]: Error with DB Connection, could not find driver
[2022-07-06 18:03:08]: Error with DB Connection, could not find driver
[2022-07-06 18:03:38]: Error with DB Connection, could not find driver
[2022-07-06 18:06:16]: Error with DB Connection, could not find driver
[2022-07-06 18:06:45]: Error with DB Connection, could not find driver
[2022-07-06 18:07:23]: Error with DB Connection, could not find driver
[2022-07-06 18:07:28]: Error with DB Connection, could not find driver
